NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
4,0,42.60890,585.28180,46.68630,584.81240,13.65620,3.04930,0.000001455
4,1,42.92470,530.58890,47.65930,572.02870,13.61490,2.87940,0.000000974
4,2,49.57020,540.00070,46.28250,572.72230,13.71100,3.07790,0.000001706
4,3,42.67340,523.82400,48.20630,575.92150,14.04920,3.04890,0.000000701
4,4,46.91020,550.43290,46.37430,562.11680,13.64270,2.86240,0.000001526
4,5,41.79890,527.61620,47.06130,567.66520,13.54580,2.93690,0.000002784
4,6,46.60860,534.52610,46.87350,564.44120,13.46520,2.96390,0.000000867
4,7,42.95520,525.81240,48.60550,572.79950,13.61470,3.10440,0.000000912
4,8,44.84660,559.43010,46.61000,565.77510,14.03770,3.13480,0.000001011
4,9,44.07360,528.06620,46.22060,576.63600,13.67030,3.49660,0.000000925
4,10,47.20080,527.72090,46.46020,571.03760,13.42060,3.05910,0.000001751
4,11,44.55840,527.66770,47.03110,563.95660,13.62520,3.10450,0.000000713
4,12,47.11070,559.49240,46.51480,559.80890,15.86100,3.66880,0.000000968
4,13,42.65460,525.38550,47.08620,572.70720,13.43150,3.06850,0.000001324
4,14,45.18100,538.70820,46.49120,569.32980,13.67750,2.91180,0.000001236
4,15,45.86190,599.53690,51.70070,607.16610,14.88280,3.68310,0.000001914
4,16,48.41180,565.99800,49.45440,621.57190,13.67450,3.03420,0.000001409
4,17,45.46610,548.84990,47.07330,568.35130,13.63730,3.08480,0.000001706
4,18,42.50000,527.43780,47.33720,560.25170,13.65990,3.04330,0.000000978
4,19,43.67210,532.32750,46.45700,563.63220,13.55910,2.90210,0.000001236
4,20,45.00040,524.66810,46.47920,577.53650,13.78090,2.88130,0.000001183
4,21,49.26490,979.91900,64.27100,901.25900,15.00560,2.98650,0.000001496
4,22,42.23870,582.13400,52.46240,602.63960,14.80300,3.13760,0.000001196
4,23,44.18700,901.15680,57.64360,749.59080,16.44210,3.08490,0.000001490
4,24,42.53400,643.17240,54.56620,625.27800,13.59640,3.37660,0.000000823
4,25,40.97510,744.49610,56.32500,662.06150,14.68660,3.45630,0.000001172
4,26,48.72570,825.82320,51.59470,766.19720,13.58580,2.89640,0.000001302
4,27,69.83780,802.99180,66.20080,804.53910,20.28650,6.63080,0.000000966
4,28,54.76970,742.70190,63.39450,706.46470,16.06700,3.27900,0.000000766
4,29,41.24940,815.57000,70.95220,900.75490,16.06130,3.35000,0.000001547
4,30,46.28360,542.21480,51.73090,668.90590,13.48730,3.17960,0.000001347
4,31,46.57490,583.40970,49.67910,631.67450,14.44760,6.97390,0.000000462
4,32,43.43340,577.62970,46.69710,626.96440,13.55040,2.96070,0.000001133
4,33,40.16680,528.34750,48.18780,561.75360,13.72230,3.19100,0.000001772
4,34,43.36710,536.65840,46.95650,573.96090,14.91280,3.28020,0.000001160
4,35,41.21820,531.42940,47.87700,590.69580,14.09320,3.12290,0.000002457
4,36,43.63970,584.54490,51.96740,618.09720,13.80340,4.66050,0.000001981
4,37,40.71770,537.89190,47.37660,563.16620,13.60330,3.11460,0.000000997
4,38,40.69180,530.39070,47.09750,562.95270,13.50640,3.02780,0.000001330
4,39,40.08660,530.98180,49.99040,554.74900,14.29540,3.31490,0.000001529
4,40,40.11580,525.24560,47.84890,576.02880,13.41470,2.92030,0.000000957
4,41,40.03540,530.40810,46.99940,558.17750,13.52510,2.84310,0.000001111
4,42,41.34730,525.87020,46.55470,560.55010,13.47100,2.94220,0.000001224
4,43,40.18800,563.87140,48.75930,559.87210,13.55730,3.05500,0.000001273
4,44,40.60850,537.89710,46.90490,593.98370,13.66210,3.27760,0.000000911
4,45,40.32440,547.13970,50.16700,566.34360,13.67010,2.90390,0.000001058
4,46,40.09870,553.68100,48.47000,571.73040,14.02740,3.05270,0.000001015
4,47,41.10730,545.86630,48.10970,564.43340,21.99920,5.64450,0.000000804
4,48,43.08120,553.56750,48.39580,624.58360,13.83850,3.11510,0.000001128
4,49,40.74490,552.79900,47.23270,563.69900,13.41880,2.93550,0.000001931
4,50,44.91580,543.05610,48.20440,554.29600,14.63780,3.20180,0.000001877
4,51,40.58550,530.95770,46.33980,584.64950,17.66510,3.89180,0.000001186
4,52,40.25770,578.27400,53.68840,567.45200,13.54680,2.95480,0.000001040
4,53,44.06880,551.14550,52.79310,635.48020,14.09680,3.28590,0.000001090
4,54,42.24650,546.58880,53.61440,614.47100,15.14150,3.35590,0.000001164
4,55,39.91780,555.43950,47.75000,584.76420,13.50710,2.87320,0.000001215
4,56,47.84410,554.18060,47.24590,588.24290,13.91210,3.70940,0.000001153
4,57,40.70020,556.91790,52.94140,595.82990,14.03230,3.63800,0.000001422
4,58,45.07140,569.90460,47.76390,584.78730,15.06570,3.75960,0.000001196
4,59,40.53240,568.39620,46.37470,578.09030,13.71300,2.94180,0.000000837
4,60,43.38150,545.38990,50.39400,620.32270,13.39040,3.14640,0.000001315
4,61,44.18390,553.66890,48.78170,582.83630,16.17890,3.64380,0.000001123
4,62,48.98140,635.60930,129.89240,888.04080,20.99900,4.30490,0.000001242
4,63,83.54540,1034.71610,77.10930,1297.20070,14.15190,3.11470,0.000000965
4,64,42.83580,1034.49830,55.94170,838.57730,14.79770,4.16320,0.000000877
4,65,79.16320,1496.02870,69.05860,929.30630,16.66500,3.49440,0.000001808
4,66,87.15490,1163.89160,63.80200,1837.59660,20.35420,4.75440,0.000001572
4,67,59.10230,707.13480,48.96090,779.31790,16.48190,3.25950,0.000000981
4,68,50.59540,707.74100,50.30090,628.77520,16.67140,3.40630,0.000000996
4,69,49.93180,601.01650,50.31730,742.65250,13.96770,5.11380,0.000001159
4,70,82.09070,1044.40060,115.68580,885.37180,20.23440,7.85190,0.000000688
4,71,60.88090,940.63870,139.02260,956.55470,16.92230,5.84770,0.000001639
4,72,43.83600,647.04170,49.12550,619.14870,14.70060,3.31250,0.000001504
4,73,56.71140,551.52050,47.50580,569.26290,13.66810,3.37750,0.000001774
4,74,44.43570,548.28620,48.05250,575.42430,13.55170,3.00090,0.000000943
4,75,43.00500,556.30890,51.41770,599.84980,13.79330,3.20310,0.000001384
4,76,47.76170,569.76130,48.33730,580.44770,16.08140,3.55600,0.000001129
4,77,42.68080,528.66280,47.73940,584.52050,14.02270,3.00290,0.000001403
4,78,45.28920,555.02660,48.47120,573.48170,14.35440,2.89020,0.000000834
4,79,43.26300,531.76360,46.43170,581.55850,13.93010,3.04940,0.000001246
4,80,50.05490,578.51070,49.37920,594.87490,13.60350,2.96060,0.000002013
4,81,41.68920,537.06310,50.42470,558.78790,13.68210,2.89020,0.000001027
4,82,42.86800,535.30850,46.78980,565.31430,14.73210,3.12950,0.000000830
4,83,42.37030,547.35200,46.48810,560.81660,13.63430,2.92390,0.000001084
4,84,43.35300,545.07680,47.83820,587.07060,14.17110,3.86580,0.000001360
4,85,43.14500,556.02090,51.05500,570.34290,13.74030,3.01090,0.000001204
4,86,46.52670,542.45140,47.64780,578.67750,13.40490,3.07960,0.000001052
4,87,43.75650,546.03190,48.10750,572.91610,14.95410,3.07140,0.000001150
4,88,40.45200,532.90010,51.12330,576.04450,14.33030,2.92660,0.000001190
4,89,42.54320,566.48310,47.80640,556.34530,13.56670,3.10040,0.000000904
4,90,45.37350,526.22650,47.09250,568.30400,13.63590,3.04450,0.000001207
4,91,43.37000,547.63670,48.49560,557.25610,13.54840,2.93480,0.000001047
4,92,46.89560,534.64700,50.53760,584.37300,13.91510,3.09740,0.000000970
4,93,43.38850,547.61730,46.39240,558.28880,13.44390,2.92300,0.000001341
4,94,42.58720,530.29200,47.27650,575.34360,13.50040,3.15960,0.000002227
4,95,44.86750,544.20670,46.48160,559.16370,13.38930,2.92350,0.000001198
4,96,45.00810,555.98630,46.65970,566.82480,13.39440,3.17760,0.000001139
4,97,43.01170,540.82190,46.09670,554.88630,14.24360,3.47130,0.000001118
4,98,42.80510,524.75240,47.18210,570.65860,13.46130,3.16490,0.000001563
4,99,43.60680,545.32560,47.49300,560.80630,13.95790,3.03040,0.000001341
8,0,186.41260,1364.58060,60.56000,1726.64670,18.16790,12.98060,0.000001568
8,1,184.28320,1335.97290,61.94620,1707.51060,18.60530,13.35370,0.000006078
8,2,188.20400,1347.82700,60.52670,1714.54500,18.39160,14.02100,0.000002789
8,3,190.92630,1352.53990,64.62170,1718.64700,18.11600,12.90480,0.000002133
8,4,182.79090,1367.69490,60.27590,1708.31050,18.20370,13.06710,0.000002549
8,5,192.20450,1338.50220,61.73190,1736.48160,19.45220,14.49910,0.000005152
8,6,183.33470,1341.07240,62.91160,1699.45970,18.23420,13.55800,0.000002071
8,7,183.12370,1342.67560,61.39880,1707.18930,18.37740,12.87900,0.000002297
8,8,201.90060,1336.47320,59.56560,1711.27550,19.20470,13.64460,0.000002377
8,9,189.27610,1331.78260,59.79390,1700.19670,18.12460,13.25330,0.000005664
8,10,182.76510,1355.77330,61.48760,1699.54110,17.88680,13.36390,0.000002203
8,11,188.92970,1355.24390,64.60740,1729.16620,18.13370,13.21040,0.000002147
8,12,183.74740,1336.48550,62.79230,1725.47320,18.17090,13.52510,0.000002891
8,13,182.89910,1341.13440,60.21800,1699.07430,18.84700,14.28780,0.000001722
8,14,185.17550,1352.10510,61.64100,1731.10910,17.99080,13.35050,0.000002543
8,15,183.10890,1365.55070,60.58170,1697.47050,18.56810,13.39350,0.000002312
8,16,182.58210,1340.83030,65.98560,1694.15050,18.12420,13.94710,0.000002137
8,17,183.91790,1366.35180,62.01900,1694.29460,18.24330,13.00560,0.000002661
8,18,187.98100,1332.75920,60.30340,1719.98630,21.35770,12.94280,0.000002580
8,19,191.83500,1332.06600,60.15520,1731.73990,17.99830,15.70450,0.000003059
8,20,183.73820,1352.25140,61.79160,1699.22330,18.07140,13.24960,0.000001567
8,21,187.67310,1335.38030,60.27620,1707.22470,18.23320,13.97790,0.000002619
8,22,182.51060,1351.33030,62.55390,1713.89310,18.29040,13.29060,0.000001849
8,23,183.49840,1342.92470,61.23190,1700.95540,19.62340,14.74960,0.000002221
8,24,187.22030,1359.96790,64.49340,1703.59410,17.91120,13.47170,0.000002694
8,25,184.08090,1345.97520,60.20370,1707.92720,18.15830,14.43730,0.000002473
8,26,182.38700,1369.58420,64.91230,1704.02910,18.39300,13.29520,0.000002379
8,27,182.37180,1343.65830,60.15430,1695.81530,17.94960,12.85670,0.000003941
8,28,192.27540,1361.90750,61.05110,1711.88160,18.44530,13.18670,0.000002167
8,29,182.32600,1367.59330,61.27430,1732.93400,17.96550,13.28940,0.000004846
8,30,189.64250,1335.36620,61.97350,1709.34130,18.52330,13.38970,0.000001732
8,31,186.34240,1343.17560,62.14950,1728.99180,18.22570,13.13740,0.000002154
8,32,185.50970,1344.66400,61.03200,1726.09090,19.09770,13.37860,0.000002920
8,33,196.46980,1369.07500,66.81680,1735.55150,20.22960,13.76280,0.000001982
8,34,186.00450,1349.09650,60.96460,1703.08590,18.12270,12.94940,0.000005551
8,35,187.20280,1367.03140,59.97620,1704.46750,18.68000,13.52980,0.000001955
8,36,194.36930,1358.00490,62.34990,1718.45820,18.21260,13.47380,0.000001802
8,37,222.91320,1436.12580,61.05480,1786.32610,19.39240,14.15550,0.000002514
8,38,182.43150,1359.99400,63.06890,1699.53420,18.18110,13.02870,0.000001734
8,39,189.73700,1334.01760,61.03670,1718.95340,18.76000,13.90520,0.000002511
8,40,191.76270,1337.43070,60.62800,1737.82970,18.02610,13.35150,0.000002924
8,41,183.09100,1349.33230,62.37760,1705.06140,17.86180,13.42500,0.000005977
8,42,201.33350,1365.56210,59.93030,1703.24610,21.13240,15.07340,0.000003101
8,43,184.05800,1358.84830,64.13280,1714.17250,18.38790,13.54220,0.000002289
8,44,184.03950,1356.53390,60.60920,1698.90060,18.89370,16.73550,0.000004806
8,45,189.13230,1366.60990,64.98600,1753.30480,18.18770,14.61010,0.000001544
8,46,185.81200,1353.82240,61.38590,1727.90680,18.20120,13.42720,0.000002584
8,47,191.59650,1959.23570,88.92320,2877.55800,22.62510,28.38290,0.000002601
8,48,372.87730,2370.61270,86.75170,2547.15940,38.41850,41.66850,0.000002621
8,49,228.98570,2481.02640,83.10370,2152.56340,23.12820,18.59010,0.000002542
8,50,199.65940,1625.85040,105.70490,2140.39560,24.78210,25.65510,0.000001952
8,51,235.15980,1762.57970,123.55980,2403.52850,29.74570,66.42140,0.000001511
8,52,211.93370,1547.76800,64.11780,2001.22980,19.47640,15.57120,0.000002281
8,53,288.79120,1572.76950,68.60280,2176.42160,21.03960,13.46310,0.000006165
8,54,242.40240,1511.07640,60.59390,2408.79110,20.28210,15.17520,0.000001935
